Device,Constraint,Timeout,MER,SL,BC
9803/9805|fd34::0017:0d00:0030:e3ca,0.9,55.05,0.03473741794310725,0.38,0.0
9803/9805|fd34::0017:0d00:0030:e3ca,1.0,55.05,0.0,51.25,0.0
1010/9000|fd34::0017:0d00:0030:e69f,0.1,834.27,0.5850622406639003,3.65,0.0
1010/9000|fd34::0017:0d00:0030:e69f,0.2,834.37,0.3360995850622407,3.66,0.0
1010/9000|fd34::0017:0d00:0030:e69f,0.3,834.37,0.3360995850622407,3.66,0.0
1010/9000|fd34::0017:0d00:0030:e69f,0.4,834.47,0.14937759336099588,3.71,0.0
1010/9000|fd34::0017:0d00:0030:e69f,0.5,834.47,0.14937759336099588,3.71,0.0
1010/9000|fd34::0017:0d00:0030:e69f,0.6,834.47,0.14937759336099588,3.71,0.0
1010/9000|fd34::0017:0d00:0030:e69f,0.7,834.47,0.14937759336099588,3.71,0.0
1010/9000|fd34::0017:0d00:0030:e69f,0.8,834.57,0.0456431535269709,3.79,0.0
1010/9000|fd34::0017:0d00:0030:e69f,0.9,834.57,0.0456431535269709,3.79,0.0
1010/9000|fd34::0017:0d00:0030:e69f,1.0,834.57,0.0,822.34,0.0
3302/5500|fd34::0017:0d00:0030:e69f,0.1,111.21,0.665380374862183,0.56,0.0
3302/5500|fd34::0017:0d00:0030:e69f,0.2,111.31,0.1389195148842337,0.58,0.0
3302/5500|fd34::0017:0d00:0030:e69f,0.3,111.31,0.1389195148842337,0.58,0.0
3302/5500|fd34::0017:0d00:0030:e69f,0.4,111.31,0.1389195148842337,0.58,0.0
3302/5500|fd34::0017:0d00:0030:e69f,0.5,111.31,0.1389195148842337,0.58,0.0
3302/5500|fd34::0017:0d00:0030:e69f,0.6,111.31,0.1389195148842337,0.58,0.0
3302/5500|fd34::0017:0d00:0030:e69f,0.7,111.31,0.1389195148842337,0.58,0.0
3302/5500|fd34::0017:0d00:0030:e69f,0.8,111.41,0.033627342888643885,0.67,0.0
3302/5500|fd34::0017:0d00:0030:e69f,0.9,111.41,0.033627342888643885,0.67,0.0
3302/5500|fd34::0017:0d00:0030:e69f,1.0,111.41,0.0,107.82,0.0
1010/9000|fd34::0017:0d00:0030:e6a6,0.1,821.43,0.709016393442623,3.53,0.0
1010/9000|fd34::0017:0d00:0030:e6a6,0.2,821.53,0.42622950819672134,3.51,0.0
1010/9000|fd34::0017:0d00:0030:e6a6,0.3,821.53,0.42622950819672134,3.51,0.0
1010/9000|fd34::0017:0d00:0030:e6a6,0.4,821.63,0.2090163934426229,3.55,0.0
1010/9000|fd34::0017:0d00:0030:e6a6,0.5,821.63,0.2090163934426229,3.55,0.0
1010/9000|fd34::0017:0d00:0030:e6a6,0.6,821.63,0.2090163934426229,3.55,0.0
1010/9000|fd34::0017:0d00:0030:e6a6,0.7,821.73,0.061475409836065587,3.62,0.0
1010/9000|fd34::0017:0d00:0030:e6a6,0.8,821.73,0.061475409836065587,3.62,0.0
1010/9000|fd34::0017:0d00:0030:e6a6,0.9,821.83,0.024590163934426257,3.71,0.0
1010/9000|fd34::0017:0d00:0030:e6a6,1.0,821.83,0.0,813.99,0.0
3302/5500|fd34::0017:0d00:0030:e6a6,0.1,109.5,0.6601731601731602,0.49,0.0
3302/5500|fd34::0017:0d00:0030:e6a6,0.2,109.6,0.14231601731601728,0.51,0.0
3302/5500|fd34::0017:0d00:0030:e6a6,0.3,109.6,0.14231601731601728,0.51,0.0
3302/5500|fd34::0017:0d00:0030:e6a6,0.4,109.6,0.14231601731601728,0.51,0.0
3302/5500|fd34::0017:0d00:0030:e6a6,0.5,109.6,0.14231601731601728,0.51,0.0
3302/5500|fd34::0017:0d00:0030:e6a6,0.6,109.6,0.14231601731601728,0.51,0.0
3302/5500|fd34::0017:0d00:0030:e6a6,0.7,109.6,0.14231601731601728,0.51,0.0
3302/5500|fd34::0017:0d00:0030:e6a6,0.8,109.7,0.0357142857142857,0.59,0.0
3302/5500|fd34::0017:0d00:0030:e6a6,0.9,109.8,0.016233766233766267,0.69,0.0
3302/5500|fd34::0017:0d00:0030:e6a6,1.0,109.8,0.0,106.66,0.0
1010/9000|fd34::0017:0d00:0030:e72d,0.1,817.48,0.4653061224489796,3.49,0.0
1010/9000|fd34::0017:0d00:0030:e72d,0.2,817.48,0.4653061224489796,3.49,0.0
1010/9000|fd34::0017:0d00:0030:e72d,0.3,817.58,0.273469387755102,3.52,0.0
1010/9000|fd34::0017:0d00:0030:e72d,0.4,817.58,0.273469387755102,3.52,0.0
1010/9000|fd34::0017:0d00:0030:e72d,0.5,817.68,0.08571428571428574,3.58,0.0
1010/9000|fd34::0017:0d00:0030:e72d,0.6,817.68,0.08571428571428574,3.58,0.0
1010/9000|fd34::0017:0d00:0030:e72d,0.7,817.68,0.08571428571428574,3.58,0.0
1010/9000|fd34::0017:0d00:0030:e72d,0.8,817.68,0.08571428571428574,3.58,0.0
1010/9000|fd34::0017:0d00:0030:e72d,0.9,817.78,0.02857142857142858,3.67,0.0
1010/9000|fd34::0017:0d00:0030:e72d,1.0,817.78,0.0,813.03,0.0
3303/5702|fd34::0017:0d00:0030:e72d,0.1,108.96,0.6787595084844938,0.72,0.0
3303/5702|fd34::0017:0d00:0030:e72d,0.2,109.06,0.16091281451141015,0.73,0.0
3303/5702|fd34::0017:0d00:0030:e72d,0.3,109.06,0.16091281451141015,0.73,0.0
3303/5702|fd34::0017:0d00:0030:e72d,0.4,109.06,0.16091281451141015,0.73,0.0
3303/5702|fd34::0017:0d00:0030:e72d,0.5,109.06,0.16091281451141015,0.73,0.0
3303/5702|fd34::0017:0d00:0030:e72d,0.6,109.06,0.16091281451141015,0.73,0.0
3303/5702|fd34::0017:0d00:0030:e72d,0.7,109.06,0.16091281451141015,0.73,0.0
3303/5702|fd34::0017:0d00:0030:e72d,0.8,109.16,0.04622586307782328,0.81,0.0
3303/5702|fd34::0017:0d00:0030:e72d,0.9,109.16,0.04622586307782328,0.81,0.0
3303/5702|fd34::0017:0d00:0030:e72d,1.0,109.16,0.0,105.94,0.0
1010/9000|fd34::0017:0d00:0030:e947,0.1,814.44,0.6910569105691057,6.81,0.0
1010/9000|fd34::0017:0d00:0030:e947,0.2,814.54,0.4227642276422764,6.8,0.0
1010/9000|fd34::0017:0d00:0030:e947,0.3,814.64,0.2642276422764228,6.83,0.0
1010/9000|fd34::0017:0d00:0030:e947,0.4,814.64,0.2642276422764228,6.83,0.0
1010/9000|fd34::0017:0d00:0030:e947,0.5,814.74,0.0934959349593496,6.89,0.0
1010/9000|fd34::0017:0d00:0030:e947,0.6,814.74,0.0934959349593496,6.89,0.0
1010/9000|fd34::0017:0d00:0030:e947,0.7,814.74,0.0934959349593496,6.89,0.0
1010/9000|fd34::0017:0d00:0030:e947,0.8,814.74,0.0934959349593496,6.89,0.0
1010/9000|fd34::0017:0d00:0030:e947,0.9,814.84,0.04878048780487809,6.98,0.0
1010/9000|fd34::0017:0d00:0030:e947,1.0,814.84,0.0,800.94,0.0
3303/5702|fd34::0017:0d00:0030:e947,0.1,54.33,0.3019881783987104,0.32,0.0
3303/5702|fd34::0017:0d00:0030:e947,0.2,54.33,0.3019881783987104,0.32,0.0
3303/5702|fd34::0017:0d00:0030:e947,0.3,54.33,0.3019881783987104,0.32,0.0
3303/5702|fd34::0017:0d00:0030:e947,0.4,54.33,0.3019881783987104,0.32,0.0
3303/5702|fd34::0017:0d00:0030:e947,0.5,54.33,0.3019881783987104,0.32,0.0
3303/5702|fd34::0017:0d00:0030:e947,0.6,54.43,0.07415368081676521,0.38,0.0
3303/5702|fd34::0017:0d00:0030:e947,0.7,54.43,0.07415368081676521,0.38,0.0
3303/5702|fd34::0017:0d00:0030:e947,0.8,54.43,0.07415368081676521,0.38,0.0
3303/5702|fd34::0017:0d00:0030:e947,0.9,54.53,0.032240730789897865,0.47,0.0
3303/5702|fd34::0017:0d00:0030:e947,1.0,54.53,0.0,51.34,0.0
1010/9000|fd34::0017:0d00:0030:e95e,0.1,834.63,0.5726141078838174,3.61,0.0
1010/9000|fd34::0017:0d00:0030:e95e,0.2,834.73,0.3153526970954357,3.62,0.0
1010/9000|fd34::0017:0d00:0030:e95e,0.3,834.73,0.3153526970954357,3.62,0.0
1010/9000|fd34::0017:0d00:0030:e95e,0.4,834.73,0.3153526970954357,3.62,0.0
1010/9000|fd34::0017:0d00:0030:e95e,0.5,834.83,0.12863070539419086,3.67,0.0
1010/9000|fd34::0017:0d00:0030:e95e,0.6,834.83,0.12863070539419086,3.67,0.0
1010/9000|fd34::0017:0d00:0030:e95e,0.7,834.83,0.12863070539419086,3.67,0.0
1010/9000|fd34::0017:0d00:0030:e95e,0.8,834.93,0.020746887966805017,3.76,0.0
1010/9000|fd34::0017:0d00:0030:e95e,0.9,834.93,0.020746887966805017,3.76,0.0
1010/9000|fd34::0017:0d00:0030:e95e,1.0,834.93,0.0,828.11,0.0
9803/9805|fd34::0017:0d00:0030:e95e,0.1,8.94,0.7400487782430629,0.41,0.0
9803/9805|fd34::0017:0d00:0030:e95e,0.2,9.04,0.6796741981501082,0.37,0.0
9803/9805|fd34::0017:0d00:0030:e95e,0.3,9.24,0.6650407252312365,0.3,0.0
9803/9805|fd34::0017:0d00:0030:e95e,0.4,9.44,0.4188946666053104,0.26,0.0
9803/9805|fd34::0017:0d00:0030:e95e,0.5,9.54,0.0729372785421748,0.31,0.0
9803/9805|fd34::0017:0d00:0030:e95e,0.6,9.54,0.0729372785421748,0.31,0.0
9803/9805|fd34::0017:0d00:0030:e95e,0.7,9.54,0.0729372785421748,0.31,0.0
9803/9805|fd34::0017:0d00:0030:e95e,0.8,9.54,0.0729372785421748,0.31,0.0
9803/9805|fd34::0017:0d00:0030:e95e,0.9,9.64,0.01992545211909258,0.4,0.0
9803/9805|fd34::0017:0d00:0030:e95e,1.0,9.64,0.0,9.54,0.0
